Name,Aadhar Number,First Name,Last Name,Email,Mobile Number,Blood Group,Date of Birth,Gender,Nationality,Religion,Differently Abled,Type of Disability,Community,Mother Tongue,Program Name,Associated Department,Mode of Admission,Admission Category,SSLC School Address,SSLC Year of Passing,SSLC Board or University,SSLC Group,SSLC Percentage,HSC School Address,HSC Year of Passing,HSC Board of Study,HSC Group,HSC Percentage,HSC Maths,HSC Physics,HSC Chemistry,Current Address,Permanent Address,Father Name,Father Email,Father Mobile Number,Father Date of Birth,Father Qualification,Father Occupation,Father Designation,Father Annual Income,Mother Name,Mother Email,Mother Mobile Number,Mother Date of Birth,Mother Qualification,Mother Occupation,Mother Designation,Mother Annual Income
John Doe K,232345678567,John Doe,K,johndoe2210456@ssn.edu.in,7890765432,B+,23-08-2004,Male,Indian,Christian,Yes,Physical,BC,Tamil,B.Tech Information Technology,Information Technology,Management,General,"Leo Schools,COIMBATORE",2020,Tamilnadu board,NA,98,"Leo Schools,COIMBATORE",2022,Tamilnadu board,Biology,97,97,90,99,"No.4A,Bommalattam street,Coimbatore","No.4A,Bommalattam street,Coimbatore",Krish,rckani@hotmail.com,9087340912,15-03-1970,B.Com,Government Officer,Clerk,500000,Ragavi,ragavi@gmail.com,7373987632,05-09-1980,SSLC,Government Officer,Postmaster,650000
Santhosh Kumar M,232345678890,Santhosh Kumar,M,santhosh2210410@ssn.edu.in,7763087618,O+,23-07-2004,Male,Indian,Hindu,No,NA,BC,Tamil,B.E.Computer Science,Computer Science,Counselling,7.5 reservation,"Kamarajar School,Erode",2020,Tamilnadu board,NA,80,"Kamarajar School,Erode",2022,Tamilnadu board,Computer Science,85,80,70,90,"Street No. 14, Gandhi street Erode","Street No. 14, Gandhi street Erode",Madhvan,madhvan2390@gmail.com,7436091096,15-03-1975,HSC,Government Officer,clerk,500000,Radha,radha567@gmail.com,98714307634,14-03-1979,SSLC,House wife,NA,NA
Deepak Chahar,333456712073,Deepak,Chahar,deepakchahar2210736@ssn.edu.in,9845673043,AB-,23-12-2004,Male,Indian,Hindu,NO,NA,General,Telugu,B.Tech Information Technology,Information Technology,Counselling,General,"Monk Schools, Krishnagiri",2020,Telangana board,NA,98,"Monk Schools, Krishnagiri",2022,Telangana board,Biology,95,97,90,95,"No.234, Priest street Krishnagiri ","No.234, Priest street Krishnagiri ",Murali,muralimurali@gmail.com,723456098,30-06-1970,BE,Mechanical Engineer,Manager,1500000,sumathi,sumathinm@gmail.com,989458582,08-04-1972,M.A.B.Ed,Government Officer,Teacher,1200000
Monica P,232345678234,Monica ,P,monica2210090@ssn.edu.in,9897645321,A+,03-10-2004,Female,Indian,Hindu,No,NA,SC,Tamil,B.E.Mechanical Engineering,Mechanical,Management,General,"SBOA School, Salem",2020,Tamilnadu board,NA,98,"SBOA School, Salem",2022,Tamilnadu board,Biology,97,97,90,99,"FLAT NO :87, Saradha apartment,Salem","FLAT NO :87, Saradha apartment,Salem",Prabhakaran,prabha@gmail.com,9090987654,16-08-1970,B.Com,Government officer,Bank manager,1000000,Reema,Reema5@gmail.com,9234567890,25-08-1985,B.E.Chemical Engineering ,Chief Chemical Engineer,Team manager,1256000
Sharukh Khan L,23234567878,Sharukh Khan,L,sharukhkhan2210345@ssn.edu.in,7809999888,A+,28-08-2004,Male,Indian,Muslim,Yes,Physical,BC,Hindi,B.Tech Cyber security,Computer Science,Counselling,General,DAV School Chennai,2020,Tamilnadu board,NA,98,DAV School Chennai,2022,Tamilnadu board,Biology,92,93,90,98,"Flat no:4, Manju Apartment, Anna nagar, Chrompet","Flat no:4, Manju Apartment, Anna nagar, Chrompet",Lokesh Khan,lokesh23456@gmail.com,8454665789,15-08-1975,SSLC, Private Employer,Chief Executive Officer,1234000,Shreya Saran,shreyasaran123@gmail.com,7654890995,25-03-1979,HSC,Government Officer,Bank manager,1256000
Sujith Bala V,2323498765678,Sujith Bala,V,sujithbala2210786@ssn.edu.in,9876530130,AB-,28-01-2004,Male,Indian,Hindu,No,NA,ST,Tamil,B.E.Biomedical Engineering,Biomedical,Counselling,SC/ST category,"Bagalur School, Hosur",2020,Tamilnadu board,NA,80,"Bagalur School, Hosur",2022,Tamilnadu board,Biology,85,90,85,95,"Plot No:80, Vivekanandar street, Hosur","Plot No:80, Vivekanandar street, Hosur",Vivek S,vivek987@gmail.com,8767890845,31-01-1970,B.Ed,Government Officer,Teacher,100000,Sunitha,suni2102@gmail.com,7890123450,21-02-1973,SSLC,House wife,NA,NA
Danesh R,40089076456,Danesh,R,danesh2210769@ssn.edu.in,7890789750,B+,11-06-2005,Male,Indian,Hindu,No,NA,BC,Telugu,B.Tech Information Technology,Information Technology,Counselling,General,"Velammal School, Chennai",2020,CBSE,NA,97,"Velammal School, Chennai",2022,CBSE,Computere Science,96,99,90,100,"Sri Krishna Colony, Chennai","Sri Krishna Colony, Chennai",Ramesh,ramesh56@gmail.com,9087434007,17-06-1970,BE ,Private Employee,Civil Engineer,1200000,Vedhavathi,vedha@gmail.com,9959522708,03-01-1973,SSLC,House wife,NA,NA
Manju Sri S,331209324356,Manju Sri,S,manjusri2210732@ssn.edu.in,9360820940,O+,23-06-2004,Female,Indian,Hindu,No,NA,BC,Telugu,B.tech Information Technology,Information Technology,Counselling,General,"Bagalur School, Hosur",2020,Tamilnadu board,NA,99,"Bagalur School, Hosur",2022,Tamilnadu board,Biology,97,97,100,99,"Plot no:36 Valluvar Nagar, Rayakotta road, Hosur","Plot no:36 Valluvar Nagar, Rayakotta road, Hosur",Suresh S,Suresh15@gmail.com,9894006470,13-12-1970,BE.Mechanical Engineering ,Mechanical Engineer,Senior Manager,2000000,Ragavi,ragavi@gmail.com,9867898487,05-03-1975,MBA,Government Officer,Bank Manager,1230000
Farthima S,4567890145,Farthima,S,farthima2210007@ssn.edu.in,9894006485,A-,01-01-2004,Female,Indian,Muslim,No,NA,BC,Hindi,B.E Civil Engineering,Civil,Counselling,General,"Race School, Coimbatore",2020,CBSE,NA,90,"Race School, Coimbatore",2022,CBSE,Biology,95,98,90,96,"No:12, Maharani Avenue, Vadavalli, Coimbatore","No:12, Maharani avenue, Vadavalli, Coimbatore",Sherif,sherif123@gmail.com,9090765438,25-07-1970,CA,Government officer,Auditor,2550000,Rafikka,Rafikka045@gmail.com,9891234567,13-07-1975,B.com,Government officer,Bank employee,900000
Vithula S,333456712309,Vithula,S,vithula2210321@ssn.edu.in,7989400642,B-,31/03/2003,Female,Indian,Hindu,No,NA,BC,Tamil,B.Tech Information Technology,Information Technology,Management,General,"Maharishi Vidhya Mandir, Chennai",2020,CBSE,NA,98,"Maharishi Vidhya Mandir, Chennai",2022,CBSE,Biology,97,97,90,99,"No:09, Lotus apartment, Sholinganallur, Chennai","No:09, Lotus apartment, Sholinganallur, Chennai",Srinivasan,shri01@gmail.com,9865453472,17-06-1975,BE.Computer Science,Software Engineer,Executive,2000000,Dhana,dhana03@gmail.com,9897650987,18-11-1980,B.com,House wife,NA,NA
Maheswari H,659731542003,Maheswari,H,maheswari2210111@ssn.edu.in,9431056725,B+,31/12/2004,Female,Indian,Hindu,No,NA,BC,Tamil,B.Tech Information Technology,Information Technology,Counselling,General,"Maharishi Vidhya Mandir, Chennai",2020,CBSE,NA,97,"Maharishi Vidhya Mandir, Chennai",2022,CBSE,Computer Science,96,99,98,97,"No:19, Vindhya apartment, Egmore, Chennai","No:19, Vindhya apartment, Egmore, Chennai",Hariharan,hari896@gmail.com,8593754100,27-07-1973,BE.Computer Science,Software Engineer,Executive,2200000,Gopika,gopika75@gmail.com,8310246988,08-11-1975,CA,Government Officer,Auditor,1900000
